ID,Soil,Plant,Tray,Date,Week,Presence,Leaves,Flowering,Adj.Week,root.length,root.dry,shoot.height,plant.height,shoot.wet,shoot.root,shoot.dry,plant.moist,pm.percent,sample,site,location,wt,grp1,grp2,grp3,grp4,grp5,plant.biomass
.,.,.,,,.,,,,,,,,,,,,,,f-s-mcl-2,MCL,field,0.33,bulk.serp,f.serp,f.bulk,f.bulk.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-mcl-1,MCL,field,0.31,bulk.serp,f.serp,f.bulk,f.bulk.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-hop-2,HOP,field,0.21,bulk.serp,f.serp,f.bulk,f.bulk.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-hop-1,HOP,field,0.24,bulk.serp,f.serp,f.bulk,f.bulk.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-mcl-9,MCL,field,0.4,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-mcl-8,MCL,field,0.17,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-mcl-7,MCL,field,0.19,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-mcl-6,MCL,field,0.01,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-mcl-5,MCL,field,0.42,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-mcl-4,MCL,field,0.62,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-mcl-3,MCL,field,0.26,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-mcl-2,MCL,field,0.58,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-mcl-10,MCL,field,0.35,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-mcl-1,MCL,field,0.19,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-9,HOP,field,0.4,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-8,HOP,field,0.19,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-7,HOP,field,0.25,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-6,HOP,field,0.17,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-5,HOP,field,0.15,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-4,HOP,field,0.15,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-3,HOP,field,0.16,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-2,HOP,field,0.12,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-15,HOP,field,0.19,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-14,HOP,field,0.25,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-13,HOP,field,0.38,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-12,HOP,field,0.11,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-11,HOP,field,0.19,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-10,HOP,field,0.65,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-gil-hop-1,HOP,field,0.63,gil.serp,f.serp,f.gil,f.gil.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-col-mcl-9,MCL,field,0.14,col.serp,f.serp,f.col,f.col.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-col-mcl-8,MCL,field,0.38,col.serp,f.serp,f.col,f.col.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-col-mcl-7,MCL,field,0.18,col.serp,f.serp,f.col,f.col.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-col-mcl-6,MCL,field,0.18,col.serp,f.serp,f.col,f.col.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-col-mcl-5,MCL,field,0.38,col.serp,f.serp,f.col,f.col.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-col-mcl-4,MCL,field,0.34,col.serp,f.serp,f.col,f.col.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-col-mcl-3,MCL,field,0.35,col.serp,f.serp,f.col,f.col.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-col-mcl-2,MCL,field,0.34,col.serp,f.serp,f.col,f.col.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-col-mcl-10,MCL,field,0.22,col.serp,f.serp,f.col,f.col.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-s-col-mcl-1,MCL,field,0.38,col.serp,f.serp,f.col,f.col.serp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-ns-tri-mcl-9,MCL,field,0.09,tri.nonserp,f.nonserp,f.tri,f.tri.nonserp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-ns-tri-mcl-8,MCL,field,0.18,tri.nonserp,f.nonserp,f.tri,f.tri.nonserp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-ns-tri-mcl-7,MCL,field,0.55,tri.nonserp,f.nonserp,f.tri,f.tri.nonserp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-ns-tri-mcl-6,MCL,field,0.15,tri.nonserp,f.nonserp,f.tri,f.tri.nonserp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-ns-tri-mcl-5,MCL,field,0.34,tri.nonserp,f.nonserp,f.tri,f.tri.nonserp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-ns-tri-mcl-4,MCL,field,0.54,tri.nonserp,f.nonserp,f.tri,f.tri.nonserp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-ns-tri-mcl-3,MCL,field,0.16,tri.nonserp,f.nonserp,f.tri,f.tri.nonserp,sample,.
.,.,.,,,.,,,,,,,,,,,,,,f-ns-tri-mcl-2,MCL,field,0.7,tri.nonserp,f.nonserp,f.tri,f.tri.nonserp,sample,.
